Time (EDT)	Latitude	Longitude	Course	kts	mph	feet	Rate	Reporting Facility
Time (EDT)	Latitude	Longitude	Course	kts	mph	feet	Rate	Reporting Facility
Mon 12:34:32 PM    Departure (LGA) @ Monday 12:34:32 PM EDT			 FlightAware ADS-B (KLGA)
Mon 12:34:32 PM	40.7828	-73.8795	← 303°	146	168	375	 Level	 FlightAware ADS-B (KLGA)
Mon 12:34:48 PM	40.7903	-73.8895	↖ 333°	144	166	1,125	2,344 Climbing	 FlightAware ADS-B (KLGA)
Mon 12:35:04 PM	40.8016	-73.8942	↑ 344°	160	184	1,625	1,547 Climbing	 FlightAware ADS-B (KLGA)
Mon 12:35:20 PM	40.8127	-73.8983	↑ 345°	179	206	1,950	1,313 Climbing	 FlightAware ADS-B (KTEB)
Mon 12:35:36 PM	40.8262	-73.9030	↑ 345°	200	230	2,325	2,063 Climbing	 FlightAware ADS-B (KJFK)
Mon 12:35:52 PM	40.8425	-73.9087	↑ 345°	213	245	3,050	3,000 Climbing	 FlightAware ADS-B (KEWR)
Mon 12:36:10 PM	40.8602	-73.9151	↑ 344°	220	253	4,025	2,603 Climbing	 FlightAware ADS-B (KLGA)
Mon 12:36:26 PM	40.8743	-73.9222	↖ 328°	238	274	4,525	2,391 Climbing	 FlightAware ADS-B (KLGA)
Mon 12:36:42 PM	40.8851	-73.9435	← 282°	245	282	5,300	3,328 Climbing	 FlightAware ADS-B (KCDW)
Mon 12:36:58 PM	40.8823	-73.9661	↙ 243°	250	288	6,300	3,300 Climbing	 FlightAware ADS-B (KLGA)
Mon 12:37:22 PM	40.8586	-73.9896	↙ 207°	274	315	7,500	3,200 Climbing	 FlightAware ADS-B (KFRG)
Mon 12:37:43 PM	40.8353	-74.0035	↙ 203°	276	318	8,700	3,048 Climbing	 FlightAware ADS-B (KJRA)
Mon 12:38:25 PM	40.7834	-74.0312	↙ 201°	295	339	10,700	2,450 Climbing	 FlightAware ADS-B (KSMQ)
Mon 12:38:43 PM	40.7625	-74.0422	↙ 202°	309	356	11,150	1,688 Climbing	 FlightAware ADS-B (KJRB)
Mon 12:39:13 PM	40.7197	-74.0649	↙ 202°	325	374	12,050	900 Climbing	 FlightAware ADS-B (KMPO)
Mon 12:39:43 PM	40.6795	-74.0858	↙ 201°	327	376	12,050	 Level	 FlightAware ADS-B (KLGA)
Mon 12:40:14 PM	40.6360	-74.1081	↙ 201°	327	376	12,050	721 Climbing	 FlightAware ADS-B (KJFK)
Mon 12:40:35 PM	40.6056	-74.1224	↓ 196°	335	386	12,675	2,686 Climbing	 FlightAware ADS-B (KMMU)
Mon 12:40:57 PM	40.5705	-74.1321	↓ 189°	335	386	13,975	3,150 Climbing	 FlightAware ADS-B (KJFK)
Mon 12:41:15 PM	40.5431	-74.1379	↓ 189°	336	387	14,775	2,271 Climbing	 FlightAware ADS-B (KWRI)
Mon 12:42:09 PM	40.4595	-74.1558	↓ 189°	355	409	16,700	1,911 Climbing	 FlightAware ADS-B (KTTN)
Mon 12:42:39 PM	40.4080	-74.1667	↓ 189°	371	427	17,450	1,925 Climbing	 FlightAware ADS-B (KFRG)
Mon 12:43:09 PM	40.3586	-74.1771	↓ 189°	374	430	18,625	2,350 Climbing	 FlightAware ADS-B (KTTN)
Mon 12:43:39 PM	40.3065	-74.1882	↓ 189°	377	434	19,800	2,225 Climbing	 FlightAware ADS-B (KJRB)
Mon 12:44:09 PM	40.2550	-74.1992	↓ 189°	385	443	20,850	2,075 Climbing	 FlightAware ADS-B (KJRB)
Mon 12:44:39 PM	40.2019	-74.2104	↓ 189°	389	448	21,875	2,075 Climbing	 FlightAware ADS-B (KJFK)
Mon 12:45:09 PM	40.1456	-74.2224	↓ 189°	394	453	22,925	1,900 Climbing	 FlightAware ADS-B (KJFK)
Mon 12:45:39 PM	40.0930	-74.2334	↓ 189°	401	461	23,775	1,075 Climbing	 FlightAware ADS-B (KMMU)
Mon 12:46:09 PM	40.0356	-74.2457	↓ 192°	402	463	24,000	313 Climbing	 FlightAware ADS-B (KWRI)
Mon 12:46:27 PM	40.0073	-74.2578	↙ 204°	389	448	24,025	485 Climbing	 FlightAware ADS-B (KTTN)
Mon 12:46:43 PM	39.9798	-74.2776	↙ 213°	377	434	24,275	1,064 Climbing	 FlightAware ADS-B (KVAY)
Mon 12:47:22 PM	39.9266	-74.3279	↙ 216°	383	441	25,000	1,239 Climbing	 FlightAware ADS-B (KMMU)
Mon 12:47:52 PM	39.8824	-74.3701	↙ 216°	390	449	25,700	1,000 Climbing	 FlightAware ADS-B (KLDJ)
Mon 12:48:22 PM	39.8396	-74.4110	↙ 217°	404	465	26,000	340 Climbing	 FlightAware ADS-B (KOXB)
Mon 12:48:45 PM	39.8061	-74.4479	↙ 224°	411	473	26,000	 Level	 FlightAware ADS-B (KBLM)
Mon 12:49:05 PM	39.7794	-74.4825	↙ 226°	402	463	26,000	 Level	 FlightAware ADS-B (KDXR)
Mon 12:49:35 PM	39.7416	-74.5325	↙ 226°	398	458	26,000	 Level	 FlightAware ADS-B (KMGJ)
Mon 12:50:05 PM	39.7013	-74.5858	↙ 226°	400	460	26,000	 Level	 FlightAware ADS-B (KSMQ)
Mon 12:50:35 PM	39.6620	-74.6377	↙ 226°	402	463	26,000	 Level	 FlightAware ADS-B (KACY)
Mon 12:51:05 PM	39.6235	-74.6885	↙ 226°	402	463	26,000	 Level	 FlightAware ADS-B (KACY)
Mon 12:51:35 PM	39.5842	-74.7404	↙ 226°	400	460	26,000	 Level	 FlightAware ADS-B (KPHL)
Mon 12:52:06 PM	39.5449	-74.7921	↙ 226°	395	455	26,000	 Level	 FlightAware ADS-B (KPHL)
